act_name,act_idx,agent,win_rate_pct,pick_rate_pct,matches,total_matches_dp,kd,kills,deaths,avg_score,source,overlap_vstats
E3A3,5,Brimstone,50.94,2.971,909228.0,30603264,0.96,14.4,15.0,199.0,maxmunzy,False
E3A3,5,Chamber,49.98,5.963,1824882.0,30603264,1.068,16.0,15.0,216.0,maxmunzy,False
E3A3,5,Cypher,48.25,3.373,1032393.0,30603264,0.972,14.4,14.9,195.0,maxmunzy,False
E3A3,5,Jett,49.92,17.238,5275389.0,30603264,1.093,17.4,15.9,239.0,maxmunzy,False
E3A3,5,KAY/O,44.77,1.423,435387.0,30603264,0.903,14.2,15.7,197.0,maxmunzy,False
E3A3,5,Killjoy,50.55,4.657,1425297.0,30603264,0.984,14.3,14.5,200.0,maxmunzy,False
E3A3,5,Omen,48.85,5.191,1588752.0,30603264,0.96,14.6,15.3,198.0,maxmunzy,False
E3A3,5,Phoenix,47.6,1.033,316200.0,30603264,1.017,16.1,15.8,225.0,maxmunzy,False
E3A3,5,Raze,49.93,5.514,1687437.0,30603264,1.011,16.2,16.1,235.0,maxmunzy,False
E3A3,5,Reyna,50.2,14.632,4477953.0,30603264,1.091,17.2,15.8,238.0,maxmunzy,False
E3A3,5,Sage,51.26,11.083,3391704.0,30603264,0.944,14.0,14.9,190.0,maxmunzy,False
E3A3,5,Skye,48.72,5.004,1531326.0,30603264,0.936,14.5,15.4,196.0,maxmunzy,False
E3A3,5,Sova,50.37,8.418,2576112.0,30603264,0.968,14.2,14.7,200.0,maxmunzy,False
E3A3,5,Viper,50.66,7.062,2161125.0,30603264,0.981,14.5,14.7,198.0,maxmunzy,False
E3A3,5,Yoru,42.17,0.55,168453.0,30603264,0.937,14.9,15.9,207.0,maxmunzy,False
E4A1,6,Astra,49.35,5.171,172023.0,3326475,1.003,14.8,14.7,196.0,maxmunzy,False
E4A1,6,Breach,49.97,1.812,60282.0,3326475,0.927,14.0,15.2,191.0,maxmunzy,False
E4A1,6,Brimstone,48.56,2.473,82263.0,3326475,0.976,14.6,15.1,201.0,maxmunzy,False
E4A1,6,Chamber,51.45,7.933,263874.0,3326475,1.101,16.5,14.9,219.0,maxmunzy,False
E4A1,6,Cypher,47.64,2.879,95778.0,3326475,0.985,14.6,14.8,195.0,maxmunzy,False
E4A1,6,Jett,50.58,17.013,565947.0,3326475,1.101,17.5,15.9,239.0,maxmunzy,False
E4A1,6,KAY/O,45.84,1.594,53040.0,3326475,0.932,14.5,15.6,200.0,maxmunzy,False
E4A1,6,Killjoy,50.59,3.566,118626.0,3326475,1.023,14.8,14.5,204.0,maxmunzy,False
E4A1,6,Neon,48.75,6.271,208590.0,3326475,0.959,16.1,16.8,225.0,maxmunzy,False
E4A1,6,Omen,51.14,3.618,120360.0,3326475,0.997,15.1,15.1,202.0,maxmunzy,False
E4A1,6,Phoenix,45.42,0.468,15555.0,3326475,1.015,16.1,15.8,227.0,maxmunzy,False
E4A1,6,Raze,50.46,4.719,156978.0,3326475,1.019,16.5,16.1,236.0,maxmunzy,False
E4A1,6,Reyna,50.53,12.661,421158.0,3326475,1.09,17.2,15.8,236.0,maxmunzy,False
E4A1,6,Sage,53.02,8.878,295341.0,3326475,0.967,14.3,14.9,193.0,maxmunzy,False
E4A1,6,Skye,47.84,4.066,135252.0,3326475,0.943,14.5,15.4,197.0,maxmunzy,False
E4A1,6,Sova,50.72,9.046,300900.0,3326475,0.973,14.4,14.7,199.0,maxmunzy,False
E4A1,6,Viper,51.07,7.486,249033.0,3326475,0.997,14.7,14.7,198.0,maxmunzy,False
E4A1,6,Yoru,44.56,0.345,11475.0,3326475,0.991,15.8,16.0,214.0,maxmunzy,False
E4A2,7,Astra,48.25,0.605,131274.0,21713862,0.998,15.0,15.0,202.0,maxmunzy,False
E4A2,7,Breach,48.62,2.198,477258.0,21713862,0.911,14.0,15.4,191.0,maxmunzy,False
E4A2,7,Brimstone,51.91,6.919,1502358.0,21713862,0.96,14.5,15.1,204.0,maxmunzy,False
E4A2,7,Chamber,50.28,13.428,2915670.0,21713862,1.094,16.4,15.0,219.0,maxmunzy,False
E4A2,7,Cypher,47.45,1.686,366078.0,21713862,0.975,14.5,14.9,196.0,maxmunzy,False
E4A2,7,Jett,49.88,17.535,3807609.0,21713862,1.085,17.3,16.0,237.0,maxmunzy,False
E4A2,7,KAY/O,45.53,3.17,688296.0,21713862,0.907,14.2,15.7,201.0,maxmunzy,False
E4A2,7,Killjoy,50.05,2.375,515610.0,21713862,0.991,14.4,14.5,199.0,maxmunzy,False
E4A2,7,Neon,46.45,0.907,197013.0,21713862,0.972,16.0,16.5,226.0,maxmunzy,False
E4A2,7,Omen,48.31,5.717,1241391.0,21713862,0.961,14.7,15.3,201.0,maxmunzy,False
E4A2,7,Phoenix,49.29,0.494,107304.0,21713862,1.039,16.4,15.8,227.0,maxmunzy,False
E4A2,7,Raze,50.59,5.517,1198041.0,21713862,1.01,16.3,16.1,234.0,maxmunzy,False
